epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.7530,0.2685,1.9547,0.2926,0.1324
2,1.6836,0.2749,2.1189,0.2407,0.1074
3,1.6962,0.2817,2.6878,0.2407,0.0970
4,1.6608,0.3075,2.4585,0.3000,0.1624
5,1.6391,0.3046,2.1500,0.2944,0.1507
6,1.5449,0.3299,2.2269,0.3000,0.1532
7,1.5220,0.3392,2.4520,0.2593,0.1425
8,1.4905,0.3309,2.2395,0.2611,0.1450
9,1.4228,0.3577,1.6950,0.2759,0.1743
10,1.4181,0.3523,1.6162,0.3259,0.2392
11,1.3913,0.3699,1.7172,0.2889,0.1904
12,1.3348,0.4020,1.6034,0.3056,0.2292
13,1.2992,0.3996,1.7911,0.3037,0.2128
14,1.2960,0.4059,1.6201,0.3037,0.2162
15,1.2679,0.4245,1.5497,0.3667,0.2855
16,1.2530,0.4220,1.3260,0.3963,0.3586
17,1.2460,0.4410,1.3952,0.4259,0.3749
18,1.2090,0.4586,1.4668,0.4296,0.3700
19,1.1730,0.4742,1.2730,0.4278,0.4150
20,1.1534,0.5010,1.4722,0.4093,0.3612
21,1.1409,0.5063,1.3467,0.4407,0.3873
22,1.1292,0.5029,1.3389,0.4630,0.4015
23,1.1061,0.5185,1.3121,0.4611,0.4191
24,1.0720,0.5356,1.1971,0.4611,0.4359
25,1.0806,0.5458,1.2695,0.4463,0.4071
26,1.0606,0.5487,1.5387,0.4352,0.3902
27,1.0397,0.5653,1.3767,0.4167,0.4054
28,1.0661,0.5482,1.2915,0.4685,0.4033
29,1.0079,0.5775,1.2339,0.4778,0.4459
30,1.0173,0.5614,1.2490,0.4796,0.4455
31,1.0131,0.5673,1.2119,0.5019,0.4724
32,0.9596,0.6023,1.3139,0.4815,0.4320
33,0.9666,0.5716,1.1745,0.4815,0.4561
34,0.8958,0.6243,1.1839,0.4981,0.4812
35,0.9001,0.6213,1.2740,0.4852,0.4691
36,0.9201,0.6155,1.4108,0.4370,0.4150
37,0.8741,0.6438,1.2296,0.4944,0.4686
38,0.8732,0.6408,1.3512,0.4981,0.4667
39,0.8603,0.6399,1.2477,0.4944,0.4665
40,0.8338,0.6559,1.3785,0.4500,0.4420
41,0.8165,0.6662,1.2854,0.4981,0.4586
42,0.8097,0.6730,1.2142,0.4796,0.4696
43,0.7333,0.6935,1.2170,0.4907,0.4778
44,0.7432,0.6964,1.2177,0.5074,0.4859
45,0.7262,0.7057,1.2395,0.4944,0.4799
46,0.7164,0.7188,1.2202,0.5130,0.4766
47,0.7082,0.7091,1.2702,0.5093,0.4876
48,0.6909,0.7188,1.2621,0.5074,0.4912
49,0.6645,0.7320,1.2478,0.5130,0.4756
50,0.6378,0.7544,1.3636,0.4852,0.4634
51,0.5846,0.7641,1.2234,0.5222,0.4995
52,0.5642,0.7817,1.3006,0.5037,0.4806
53,0.5527,0.7909,1.2519,0.5019,0.4895
54,0.5475,0.7948,1.2464,0.5037,0.4862
55,0.5389,0.7948,1.2865,0.5074,0.4851
56,0.5151,0.8085,1.2717,0.5130,0.4998
57,0.5024,0.8080,1.3011,0.5056,0.4940
58,0.4707,0.8280,1.2924,0.5037,0.4919
59,0.4690,0.8304,1.3240,0.4944,0.4817
60,0.4698,0.8280,1.3170,0.4963,0.4768
61,0.4700,0.8250,1.3021,0.5167,0.4926
62,0.4407,0.8343,1.3282,0.5074,0.4832
63,0.4416,0.8426,1.3684,0.5111,0.4883
64,0.4441,0.8406,1.2991,0.5204,0.4957
65,0.4230,0.8519,1.3460,0.5111,0.4852
66,0.4218,0.8406,1.3814,0.4852,0.4797
67,0.4033,0.8504,1.3442,0.5019,0.4850
68,0.4088,0.8553,1.3485,0.4963,0.4783
69,0.3836,0.8674,1.3600,0.5111,0.4917
70,0.3693,0.8733,1.3537,0.5185,0.5005
71,0.3591,0.8791,1.3364,0.5074,0.4905
72,0.3889,0.8635,1.4172,0.5056,0.4809
73,0.3384,0.8777,1.3800,0.5111,0.4874
74,0.3336,0.8845,1.3633,0.5148,0.4899
75,0.3256,0.8845,1.3815,0.5222,0.5019
76,0.3161,0.8952,1.3659,0.5000,0.4831
