epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.7623,0.2464,1.4721,0.1811,0.1150
2,1.6193,0.2683,1.4769,0.2037,0.1728
3,1.5848,0.2626,1.4676,0.2222,0.2038
4,1.5282,0.2811,1.4485,0.2510,0.2300
5,1.4749,0.2854,1.4505,0.2654,0.2455
6,1.4533,0.2939,1.4341,0.2675,0.2484
7,1.4168,0.3101,1.4287,0.2860,0.2587
8,1.3979,0.3357,1.4469,0.2922,0.2496
9,1.3831,0.3158,1.4849,0.2716,0.2198
10,1.3670,0.3438,1.4900,0.2737,0.2079
11,1.3529,0.3447,1.5266,0.2860,0.2042
12,1.3456,0.3604,1.5792,0.2757,0.1967
13,1.3260,0.3594,1.5993,0.2757,0.1979
14,1.3063,0.3789,1.6177,0.2716,0.1868
15,1.2903,0.3927,1.6320,0.2860,0.2009
16,1.2794,0.3941,1.6347,0.2860,0.2072
17,1.2802,0.3908,1.6584,0.2819,0.2047
18,1.2746,0.3875,1.6139,0.2757,0.2083
19,1.2591,0.3951,1.6552,0.2881,0.2159
20,1.2429,0.4236,1.7210,0.2778,0.2017
21,1.2472,0.4179,1.6140,0.2860,0.2207
22,1.2356,0.4098,1.5714,0.3025,0.2375
23,1.2368,0.4093,1.5575,0.2922,0.2308
24,1.2206,0.4326,1.5459,0.3169,0.2533
25,1.2098,0.4606,1.5244,0.3086,0.2447
26,1.2150,0.4511,1.5790,0.3169,0.2438
27,1.2111,0.4359,1.5397,0.3107,0.2576
28,1.2090,0.4473,1.5279,0.3395,0.2829
29,1.1943,0.4554,1.5331,0.3128,0.2554
30,1.1974,0.4430,1.5703,0.3313,0.2589
31,1.1829,0.4606,1.5566,0.3416,0.2625
32,1.1790,0.4715,1.5285,0.3519,0.2819
33,1.1748,0.4668,1.6210,0.3498,0.2594
34,1.1709,0.4734,1.5039,0.3704,0.2993
35,1.1705,0.4715,1.4974,0.3477,0.2723
36,1.1639,0.4848,1.4822,0.3580,0.2871
37,1.1545,0.4896,1.5059,0.3848,0.3046
38,1.1535,0.4991,1.4873,0.3992,0.3207
39,1.1410,0.4967,1.5020,0.3971,0.3128
40,1.1380,0.5005,1.5098,0.3889,0.3096
41,1.1308,0.4995,1.4932,0.4115,0.3335
42,1.1484,0.4853,1.4084,0.4033,0.3267
43,1.1328,0.4981,1.3985,0.4033,0.3259
44,1.1149,0.5043,1.3997,0.4156,0.3546
45,1.1010,0.5195,1.3730,0.4259,0.3634
46,1.1171,0.4986,1.4765,0.4239,0.3426
47,1.1136,0.5071,1.3592,0.4300,0.3681
48,1.1193,0.5076,1.3954,0.4362,0.3649
49,1.0833,0.5313,1.3818,0.4342,0.3792
50,1.0939,0.5252,1.3866,0.4239,0.3678
