epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3870,0.2588,1.3723,0.3185,0.3010
2,1.3539,0.3572,1.3274,0.3519,0.3280
3,1.2930,0.4162,1.2667,0.3852,0.3796
4,1.2385,0.4366,1.2349,0.4130,0.4123
5,1.2074,0.4635,1.2306,0.4148,0.4134
6,1.1884,0.4703,1.2105,0.4296,0.4292
7,1.1742,0.4903,1.2110,0.4111,0.4108
8,1.1481,0.4995,1.1886,0.4204,0.4193
9,1.1267,0.5200,1.1818,0.4481,0.4451
10,1.1135,0.5175,1.1579,0.4667,0.4678
11,1.0888,0.5400,1.1554,0.4815,0.4789
12,1.0578,0.5507,1.1292,0.5019,0.4974
13,1.0478,0.5677,1.0955,0.5111,0.5092
14,1.0396,0.5682,1.0863,0.5037,0.5023
15,1.0080,0.5853,1.0594,0.5370,0.5355
16,1.0017,0.5824,1.0500,0.5389,0.5331
17,0.9780,0.6004,1.0619,0.5426,0.5364
18,0.9679,0.5980,1.0368,0.5407,0.5386
19,0.9645,0.5980,1.0307,0.5574,0.5534
20,0.9271,0.6165,1.0235,0.5426,0.5342
21,0.9470,0.6019,1.0229,0.5352,0.5314
22,0.9372,0.6043,1.0150,0.5370,0.5330
23,0.9399,0.5999,1.0042,0.5574,0.5560
24,0.9209,0.6096,0.9918,0.5667,0.5615
25,0.9196,0.6238,0.9900,0.5667,0.5655
26,0.9100,0.6291,0.9898,0.5648,0.5635
27,0.8974,0.6326,1.0015,0.5574,0.5527
28,0.8939,0.6423,0.9727,0.5722,0.5717
29,0.8780,0.6408,0.9699,0.5593,0.5588
30,0.8923,0.6267,0.9685,0.5907,0.5873
31,0.8811,0.6369,0.9547,0.5907,0.5891
32,0.8792,0.6374,0.9483,0.5870,0.5887
33,0.8854,0.6404,0.9528,0.5870,0.5889
34,0.8822,0.6452,0.9572,0.5815,0.5794
35,0.8582,0.6428,0.9404,0.6019,0.6026
36,0.8577,0.6574,0.9629,0.5852,0.5833
37,0.8531,0.6384,0.9309,0.6111,0.6116
38,0.8420,0.6623,0.9446,0.6000,0.5968
39,0.8379,0.6516,0.9453,0.6093,0.6087
40,0.8488,0.6511,0.9471,0.6167,0.6174
41,0.8322,0.6530,0.9300,0.6111,0.6115
42,0.8446,0.6623,0.9493,0.5889,0.5863
43,0.8230,0.6647,0.9409,0.5981,0.5980
44,0.8096,0.6769,0.9287,0.6019,0.6012
45,0.8221,0.6564,0.9353,0.6019,0.5997
46,0.8300,0.6603,0.9153,0.6222,0.6232
47,0.8206,0.6642,0.9299,0.6241,0.6230
48,0.8133,0.6754,0.9132,0.6315,0.6340
49,0.8127,0.6784,0.9194,0.6222,0.6239
50,0.8029,0.6735,0.9254,0.6204,0.6207
51,0.8110,0.6759,0.9329,0.6204,0.6196
52,0.8101,0.6793,0.9262,0.6241,0.6232
53,0.7992,0.6701,0.9193,0.6241,0.6239
54,0.7936,0.6779,0.9259,0.6167,0.6166
55,0.8098,0.6637,0.9073,0.6259,0.6276
56,0.7637,0.6969,0.9146,0.6296,0.6308
57,0.7866,0.6808,0.9276,0.6093,0.6103
58,0.7799,0.6935,0.9197,0.6222,0.6230
59,0.7677,0.6886,0.9202,0.6278,0.6280
60,0.7593,0.6959,0.9169,0.6296,0.6309
61,0.7752,0.6813,0.9074,0.6241,0.6244
62,0.7708,0.6857,0.9046,0.6204,0.6213
63,0.7725,0.6964,0.9189,0.6167,0.6168
64,0.7705,0.6881,0.9272,0.6185,0.6169
65,0.7646,0.6779,0.9146,0.6241,0.6250
66,0.7681,0.6881,0.9066,0.6296,0.6311
67,0.7560,0.6881,0.9074,0.6185,0.6202
68,0.7445,0.6988,0.8952,0.6315,0.6333
69,0.7659,0.6837,0.8976,0.6407,0.6405
70,0.7688,0.6930,0.9115,0.6204,0.6203
71,0.7315,0.7208,0.9075,0.6241,0.6243
72,0.7576,0.6940,0.9133,0.6296,0.6298
73,0.7602,0.6832,0.9257,0.5981,0.5967
74,0.7690,0.6891,0.9084,0.6352,0.6367
75,0.7511,0.7003,0.9169,0.6241,0.6253
76,0.7601,0.6930,0.9104,0.6315,0.6340
77,0.7588,0.7042,0.9055,0.6296,0.6308
78,0.7452,0.7076,0.9033,0.6204,0.6204
79,0.7478,0.7032,0.9117,0.6463,0.6471
80,0.7528,0.6969,0.9414,0.6185,0.6164
81,0.7586,0.6954,0.9122,0.6241,0.6240
82,0.7460,0.7022,0.9044,0.6296,0.6291
83,0.7502,0.7018,0.9083,0.6259,0.6271
84,0.7516,0.6988,0.9101,0.6296,0.6297
85,0.7440,0.7003,0.9126,0.6352,0.6363
86,0.7589,0.7022,0.8971,0.6444,0.6465
87,0.7507,0.6940,0.8877,0.6389,0.6400
88,0.7534,0.6949,0.8903,0.6370,0.6387
89,0.7728,0.6813,0.8910,0.6241,0.6258
90,0.7395,0.6983,0.9022,0.6241,0.6228
91,0.7377,0.7032,0.9009,0.6296,0.6306
92,0.7423,0.7096,0.8921,0.6389,0.6403
93,0.7621,0.6827,0.8976,0.6148,0.6157
94,0.7453,0.7091,0.9022,0.6370,0.6390
95,0.7381,0.6925,0.9054,0.6333,0.6344
96,0.7445,0.7032,0.8978,0.6500,0.6521
97,0.7443,0.6974,0.9095,0.6241,0.6228
98,0.7474,0.7071,0.8908,0.6556,0.6590
99,0.7503,0.7096,0.9069,0.6352,0.6345
100,0.7374,0.7008,0.8935,0.6352,0.6361
101,0.7100,0.7227,0.8937,0.6426,0.6438
102,0.7410,0.6988,0.8912,0.6463,0.6481
103,0.7251,0.7100,0.8818,0.6519,0.6541
104,0.7125,0.7149,0.9049,0.6352,0.6344
105,0.7175,0.7066,0.8950,0.6444,0.6451
106,0.7375,0.7086,0.8935,0.6278,0.6282
107,0.7273,0.7091,0.8920,0.6352,0.6362
108,0.7275,0.6940,0.8922,0.6333,0.6328
109,0.7345,0.7061,0.8923,0.6389,0.6398
110,0.7393,0.7047,0.8842,0.6426,0.6436
111,0.7191,0.7188,0.8898,0.6296,0.6299
112,0.7244,0.7135,0.8908,0.6407,0.6418
113,0.7371,0.6983,0.8950,0.6389,0.6391
114,0.7134,0.7169,0.8857,0.6444,0.6458
115,0.7153,0.7266,0.8868,0.6500,0.6522
116,0.6970,0.7310,0.8830,0.6519,0.6538
117,0.7150,0.7013,0.8862,0.6444,0.6459
118,0.7154,0.7310,0.8893,0.6407,0.6413
119,0.7157,0.7052,0.8891,0.6463,0.6472
120,0.7091,0.7164,0.8796,0.6426,0.6444
121,0.6969,0.7227,0.8974,0.6259,0.6249
122,0.6947,0.7271,0.9176,0.6111,0.6097
123,0.7197,0.7096,0.8873,0.6519,0.6537
