epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3914,0.2524,1.3864,0.2500,0.2480
2,1.3632,0.3353,1.3615,0.3093,0.2955
3,1.3182,0.3835,1.3162,0.3407,0.3309
4,1.2721,0.4094,1.2777,0.3611,0.3561
5,1.2315,0.4362,1.2533,0.3574,0.3502
6,1.2192,0.4474,1.2263,0.3815,0.3801
7,1.1957,0.4557,1.2193,0.3889,0.3880
8,1.1661,0.4795,1.1990,0.4130,0.4100
9,1.1540,0.4966,1.1986,0.3981,0.3939
10,1.1362,0.5063,1.1636,0.4370,0.4328
11,1.1192,0.5088,1.1661,0.4556,0.4534
12,1.1108,0.5151,1.1412,0.4667,0.4607
13,1.0911,0.5404,1.1283,0.4944,0.4921
14,1.0661,0.5419,1.0913,0.5056,0.5022
15,1.0502,0.5429,1.0657,0.5241,0.5191
16,1.0138,0.5731,1.0449,0.5481,0.5458
17,1.0099,0.5750,1.0405,0.5444,0.5413
18,1.0000,0.5828,1.0249,0.5611,0.5545
19,0.9966,0.5785,1.0143,0.5574,0.5524
20,0.9781,0.5975,1.0047,0.5704,0.5663
21,0.9613,0.5960,1.0028,0.5667,0.5588
22,0.9572,0.5911,0.9970,0.5667,0.5644
23,0.9543,0.5999,0.9880,0.5722,0.5722
24,0.9475,0.6043,0.9758,0.5796,0.5759
25,0.9428,0.6106,0.9758,0.5778,0.5744
26,0.9356,0.6106,1.0041,0.5685,0.5659
27,0.9224,0.6135,0.9994,0.5722,0.5662
28,0.9195,0.6277,0.9628,0.5722,0.5703
29,0.9242,0.6228,0.9638,0.5926,0.5911
30,0.9086,0.6311,0.9492,0.5889,0.5842
31,0.8962,0.6316,0.9365,0.5963,0.5941
32,0.8922,0.6257,0.9371,0.6019,0.6032
33,0.8710,0.6540,0.9393,0.6000,0.5996
34,0.8871,0.6365,0.9418,0.6111,0.6090
35,0.8733,0.6384,0.9189,0.6167,0.6154
36,0.8856,0.6321,0.9421,0.5889,0.5885
37,0.8715,0.6365,0.9321,0.6111,0.6075
38,0.8633,0.6506,0.9430,0.6074,0.6051
39,0.8677,0.6540,0.9183,0.6111,0.6065
40,0.8483,0.6496,0.9126,0.6056,0.6018
41,0.8567,0.6491,0.9326,0.5981,0.5958
42,0.8685,0.6472,0.9219,0.6000,0.5997
43,0.8572,0.6486,0.9545,0.5741,0.5704
44,0.8190,0.6657,0.9199,0.6204,0.6156
45,0.8351,0.6603,0.9350,0.5981,0.5952
46,0.8156,0.6696,0.8960,0.6352,0.6312
47,0.8565,0.6496,0.8969,0.6222,0.6205
48,0.8118,0.6691,0.9249,0.6111,0.6078
49,0.8197,0.6633,0.9034,0.6241,0.6234
50,0.8256,0.6735,0.8983,0.6130,0.6129
51,0.8050,0.6720,0.8836,0.6407,0.6362
52,0.7915,0.6930,0.8869,0.6481,0.6450
53,0.7961,0.6866,0.8755,0.6370,0.6353
54,0.7839,0.6827,0.8879,0.6407,0.6385
55,0.8147,0.6711,0.8730,0.6370,0.6372
56,0.7785,0.6901,0.8741,0.6481,0.6441
57,0.7749,0.6930,0.8688,0.6519,0.6482
58,0.7784,0.6862,0.8668,0.6500,0.6482
59,0.7810,0.6813,0.8747,0.6389,0.6358
60,0.7843,0.6798,0.8643,0.6593,0.6555
61,0.7649,0.6964,0.8819,0.6407,0.6368
62,0.7700,0.6949,0.8645,0.6500,0.6476
63,0.7738,0.6901,0.8645,0.6481,0.6459
64,0.7801,0.6969,0.8610,0.6574,0.6555
65,0.7588,0.7013,0.8636,0.6574,0.6559
66,0.7930,0.6759,0.8507,0.6704,0.6687
67,0.7514,0.7037,0.8754,0.6315,0.6301
68,0.7720,0.6862,0.8589,0.6574,0.6547
69,0.7701,0.6974,0.8651,0.6685,0.6666
70,0.7595,0.6959,0.8596,0.6537,0.6516
71,0.7446,0.7008,0.8694,0.6444,0.6397
72,0.7547,0.6983,0.8747,0.6481,0.6457
73,0.7434,0.6983,0.8689,0.6519,0.6504
74,0.7456,0.7086,0.8602,0.6463,0.6459
75,0.7542,0.6944,0.8576,0.6407,0.6393
76,0.7578,0.6920,0.8520,0.6519,0.6503
77,0.7551,0.6949,0.8511,0.6685,0.6676
78,0.7515,0.6998,0.8582,0.6537,0.6510
79,0.7440,0.7144,0.8719,0.6611,0.6576
80,0.7528,0.7018,0.8809,0.6574,0.6552
81,0.7367,0.7100,0.8976,0.6370,0.6330
82,0.7418,0.7096,0.8660,0.6630,0.6596
83,0.7295,0.7057,0.8539,0.6648,0.6645
84,0.7517,0.6940,0.8605,0.6630,0.6614
85,0.7404,0.7037,0.8656,0.6741,0.6720
86,0.7513,0.7003,0.8553,0.6630,0.6606
87,0.7433,0.7071,0.8449,0.6611,0.6600
88,0.7564,0.6988,0.8851,0.6407,0.6392
89,0.7430,0.7027,0.8528,0.6537,0.6535
90,0.7423,0.7008,0.8521,0.6704,0.6684
91,0.7154,0.7086,0.8425,0.6722,0.6715
92,0.7300,0.7149,0.8425,0.6685,0.6678
93,0.7393,0.7135,0.8613,0.6611,0.6602
94,0.7360,0.7076,0.8722,0.6704,0.6660
95,0.7337,0.7091,0.8543,0.6648,0.6655
96,0.7162,0.7086,0.8758,0.6407,0.6402
97,0.7342,0.7130,0.8695,0.6556,0.6547
98,0.7147,0.7212,0.8480,0.6593,0.6568
99,0.7227,0.7271,0.8609,0.6519,0.6487
100,0.7238,0.7139,0.8519,0.6630,0.6629
101,0.7072,0.7178,0.8546,0.6685,0.6694
102,0.7050,0.7139,0.8436,0.6759,0.6762
103,0.7109,0.7139,0.8425,0.6759,0.6770
104,0.6993,0.7359,0.8498,0.6704,0.6697
105,0.7229,0.7110,0.8479,0.6685,0.6659
106,0.7019,0.7222,0.8382,0.6685,0.6678
107,0.7016,0.7232,0.8471,0.6704,0.6698
108,0.7107,0.7325,0.8572,0.6556,0.6536
109,0.6962,0.7266,0.8461,0.6593,0.6587
110,0.7231,0.7212,0.8399,0.6704,0.6696
111,0.7102,0.7173,0.8417,0.6704,0.6706
112,0.7067,0.7183,0.8460,0.6519,0.6517
113,0.7075,0.7154,0.8488,0.6685,0.6683
114,0.6921,0.7359,0.8319,0.6685,0.6693
115,0.6961,0.7295,0.8466,0.6667,0.6668
116,0.6995,0.7178,0.8466,0.6704,0.6705
117,0.6998,0.7164,0.8408,0.6741,0.6729
118,0.6944,0.7188,0.8509,0.6741,0.6728
119,0.7052,0.7359,0.8621,0.6667,0.6655
120,0.7052,0.7183,0.8425,0.6648,0.6641
121,0.7002,0.7242,0.8583,0.6648,0.6628
122,0.6898,0.7227,0.8908,0.6537,0.6524
123,0.6868,0.7339,0.8371,0.6741,0.6732
124,0.7045,0.7251,0.8354,0.6722,0.6711
125,0.7025,0.7237,0.8529,0.6741,0.6727
126,0.6735,0.7388,0.8543,0.6759,0.6734
127,0.6856,0.7217,0.8537,0.6741,0.6724
