epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.3922,0.2646,1.3767,0.2870,0.2769
2,1.3496,0.3416,1.3528,0.3296,0.3241
3,1.3028,0.3981,1.2999,0.3759,0.3679
4,1.2553,0.4235,1.2624,0.4093,0.4132
5,1.2215,0.4542,1.2415,0.3870,0.3821
6,1.1949,0.4747,1.2197,0.4074,0.4120
7,1.1722,0.4829,1.2077,0.4333,0.4271
8,1.1470,0.4976,1.1858,0.4444,0.4453
9,1.1238,0.5097,1.1757,0.4611,0.4577
10,1.1011,0.5278,1.1520,0.4556,0.4554
11,1.0729,0.5473,1.1354,0.4815,0.4800
12,1.0681,0.5468,1.1186,0.4870,0.4850
13,1.0466,0.5599,1.0862,0.5296,0.5227
14,1.0295,0.5663,1.0611,0.5370,0.5371
15,1.0026,0.5736,1.0369,0.5444,0.5408
16,0.9577,0.6033,1.0173,0.5537,0.5511
17,0.9533,0.6053,1.0191,0.5556,0.5455
18,0.9457,0.6111,0.9810,0.5741,0.5682
19,0.9347,0.6038,1.0369,0.5241,0.5188
20,0.9270,0.6213,0.9814,0.5759,0.5654
21,0.9173,0.6135,0.9660,0.5815,0.5698
22,0.9314,0.6277,0.9909,0.5574,0.5506
23,0.9114,0.6179,0.9843,0.5685,0.5671
24,0.9044,0.6369,0.9723,0.5759,0.5710
25,0.8835,0.6360,0.9885,0.5574,0.5506
26,0.8629,0.6467,0.9977,0.5685,0.5697
27,0.8783,0.6452,0.9647,0.5593,0.5482
28,0.8713,0.6491,0.9766,0.5759,0.5716
29,0.8489,0.6691,0.9549,0.5796,0.5762
30,0.8667,0.6525,0.9528,0.5833,0.5739
31,0.8609,0.6486,0.9527,0.5741,0.5644
32,0.8500,0.6589,0.9369,0.5796,0.5774
33,0.8321,0.6618,0.9624,0.5926,0.5839
34,0.8618,0.6481,0.9401,0.5778,0.5685
35,0.8371,0.6618,0.9377,0.5926,0.5867
36,0.8311,0.6750,0.9459,0.5944,0.5842
37,0.8232,0.6672,0.9364,0.5852,0.5794
38,0.8314,0.6657,0.9520,0.5648,0.5611
39,0.8416,0.6559,0.9356,0.6037,0.5908
40,0.8218,0.6681,0.9253,0.6056,0.6038
41,0.7994,0.6735,0.9350,0.6037,0.5957
42,0.8356,0.6511,0.9490,0.6000,0.5973
43,0.8103,0.6818,0.9443,0.5796,0.5760
44,0.8134,0.6823,0.9320,0.5907,0.5815
45,0.7819,0.6827,0.9292,0.5833,0.5760
46,0.8089,0.6764,0.9177,0.6111,0.6077
47,0.8209,0.6740,0.9342,0.6037,0.5969
48,0.8083,0.6754,0.9429,0.5944,0.5904
49,0.7898,0.6837,0.9265,0.6019,0.5956
