epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.4254,0.2635,1.3901,0.2428,0.1571
2,1.3751,0.3067,1.3814,0.2942,0.2211
3,1.3111,0.3732,1.3096,0.3683,0.3445
4,1.2680,0.4012,1.2619,0.4033,0.3961
5,1.2494,0.4217,1.2341,0.4074,0.3915
6,1.2042,0.4539,1.2277,0.4321,0.4107
7,1.1699,0.4829,1.2126,0.4568,0.4444
8,1.1302,0.5033,1.1686,0.4856,0.4774
9,1.1149,0.5161,1.1457,0.4794,0.4657
10,1.0945,0.5228,1.1242,0.4918,0.4926
11,1.0689,0.5242,1.1042,0.5144,0.5207
12,1.0316,0.5655,1.0913,0.5267,0.5279
13,1.0156,0.5774,1.0968,0.5165,0.5196
14,1.0030,0.5817,1.0701,0.5267,0.5254
15,1.0014,0.5708,1.0895,0.5494,0.5473
16,0.9794,0.5817,1.0753,0.5412,0.5418
17,0.9801,0.5859,1.0491,0.5473,0.5450
18,0.9751,0.5859,1.0513,0.5432,0.5460
19,0.9617,0.6049,1.0695,0.5576,0.5602
20,0.9524,0.5978,1.0588,0.5617,0.5651
21,0.9352,0.6125,1.0599,0.5556,0.5556
22,0.9344,0.6106,1.0712,0.5658,0.5679
23,0.9306,0.5964,1.0738,0.5514,0.5549
24,0.9150,0.6140,1.0539,0.5700,0.5728
25,0.9208,0.6097,1.0607,0.5700,0.5707
26,0.9076,0.6311,1.0913,0.5556,0.5526
27,0.9040,0.6282,1.0073,0.5947,0.5980
28,0.8986,0.6244,1.0060,0.5885,0.5916
29,0.8813,0.6382,1.0339,0.5844,0.5867
30,0.8822,0.6434,1.0208,0.5864,0.5893
31,0.8807,0.6277,1.0254,0.5885,0.5887
32,0.8578,0.6614,1.0357,0.5658,0.5695
33,0.8730,0.6434,0.9996,0.6029,0.6061
34,0.8537,0.6491,0.9972,0.6111,0.6103
35,0.8339,0.6695,1.0194,0.5885,0.5903
36,0.8490,0.6481,1.0090,0.5947,0.5965
37,0.8395,0.6567,0.9961,0.5988,0.5999
38,0.8336,0.6567,1.0087,0.5905,0.5952
39,0.8509,0.6519,0.9917,0.6317,0.6331
40,0.8325,0.6548,1.0526,0.5638,0.5652
41,0.8260,0.6747,0.9971,0.6111,0.6121
42,0.8183,0.6671,1.0045,0.5988,0.6000
43,0.8276,0.6600,1.0117,0.6091,0.6097
44,0.8199,0.6714,0.9968,0.5988,0.6010
45,0.8271,0.6567,0.9798,0.6173,0.6220
46,0.7986,0.6733,0.9945,0.6296,0.6297
47,0.8133,0.6719,1.0052,0.5947,0.5958
48,0.8113,0.6700,0.9717,0.6070,0.6124
49,0.7850,0.6952,0.9857,0.6132,0.6146
50,0.8012,0.6866,0.9906,0.6029,0.6054
51,0.7700,0.6999,0.9957,0.6070,0.6086
52,0.7688,0.6961,0.9677,0.6173,0.6224
53,0.7662,0.6947,0.9773,0.6193,0.6212
54,0.7782,0.6776,0.9689,0.6214,0.6225
55,0.7634,0.6928,0.9773,0.6111,0.6166
56,0.7642,0.6918,0.9560,0.6337,0.6372
57,0.7780,0.6852,0.9753,0.6111,0.6144
58,0.7735,0.6890,0.9586,0.6296,0.6355
59,0.7522,0.7047,0.9522,0.6337,0.6378
60,0.7564,0.7056,0.9655,0.6317,0.6348
61,0.7625,0.6918,0.9789,0.6132,0.6138
62,0.7446,0.7070,0.9604,0.6276,0.6309
63,0.7398,0.7099,0.9881,0.6111,0.6130
64,0.7548,0.6952,0.9727,0.6091,0.6139
65,0.7628,0.6928,0.9860,0.6152,0.6173
66,0.7392,0.7066,0.9629,0.6296,0.6338
67,0.7468,0.7075,0.9946,0.6193,0.6210
68,0.7716,0.6923,0.9485,0.6276,0.6304
69,0.7621,0.7013,0.9596,0.6235,0.6276
70,0.7284,0.7189,0.9727,0.6255,0.6286
71,0.7294,0.7108,0.9658,0.6379,0.6416
72,0.7347,0.7089,0.9717,0.6358,0.6377
73,0.7325,0.7080,0.9616,0.6440,0.6472
74,0.7465,0.6923,0.9598,0.6399,0.6427
75,0.7231,0.7070,0.9610,0.6317,0.6337
76,0.7358,0.7051,0.9786,0.6276,0.6304
77,0.7473,0.7099,0.9707,0.6193,0.6216
78,0.7206,0.7137,0.9452,0.6317,0.6375
79,0.7425,0.7018,0.9656,0.6296,0.6321
