epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.5891,0.3072,1.4101,0.3313,0.3188
2,1.4006,0.3865,1.3549,0.3642,0.3522
3,1.2660,0.4478,1.3138,0.3868,0.3800
4,1.2068,0.4915,1.2920,0.4280,0.4287
5,1.1545,0.4976,1.2572,0.4403,0.4416
6,1.1047,0.5309,1.2820,0.4342,0.4212
7,1.0498,0.5598,1.2365,0.4403,0.4408
8,1.0119,0.5855,1.2729,0.4506,0.4458
9,0.9562,0.5997,1.2463,0.4568,0.4566
10,0.9592,0.6078,1.3321,0.4362,0.4322
11,0.9316,0.6159,1.2368,0.4835,0.4840
12,0.9001,0.6235,1.2184,0.4362,0.4428
13,0.8502,0.6586,1.3280,0.4465,0.4436
14,0.8436,0.6686,1.2824,0.4733,0.4754
15,0.8169,0.6671,1.2719,0.4815,0.4815
16,0.7911,0.6828,1.2909,0.4733,0.4656
17,0.7790,0.6918,1.2633,0.4856,0.4802
18,0.7371,0.7099,1.2326,0.4979,0.4978
19,0.7487,0.6942,1.2524,0.4733,0.4726
20,0.7463,0.7056,1.3174,0.4630,0.4686
21,0.7060,0.7279,1.1951,0.5247,0.5279
22,0.6888,0.7118,1.2915,0.4938,0.4967
23,0.6709,0.7431,1.2610,0.4918,0.4960
24,0.6803,0.7236,1.2630,0.4774,0.4721
25,0.6532,0.7493,1.2850,0.5226,0.5252
26,0.6606,0.7379,1.3081,0.4753,0.4772
27,0.5922,0.7645,1.2265,0.5267,0.5310
28,0.6163,0.7550,1.3247,0.4794,0.4771
29,0.6018,0.7683,1.2316,0.5288,0.5337
30,0.5939,0.7806,1.4028,0.4774,0.4736
31,0.6074,0.7621,1.2640,0.4979,0.5077
32,0.5781,0.7735,1.2763,0.5144,0.5177
33,0.5310,0.7991,1.2559,0.5412,0.5458
34,0.5615,0.7806,1.3179,0.5185,0.5192
35,0.5357,0.7915,1.2695,0.5412,0.5434
36,0.5397,0.7934,1.2840,0.5247,0.5263
37,0.5201,0.7987,1.2777,0.5597,0.5631
38,0.5183,0.8039,1.3194,0.5206,0.5210
39,0.5033,0.8039,1.2172,0.5514,0.5542
40,0.5000,0.8015,1.2947,0.5329,0.5343
41,0.4630,0.8177,1.3095,0.5309,0.5311
42,0.4561,0.8196,1.3264,0.5247,0.5286
43,0.4547,0.8248,1.3337,0.5082,0.5079
44,0.4807,0.8067,1.3487,0.5391,0.5416
45,0.4451,0.8343,1.5251,0.4938,0.4816
46,0.4181,0.8381,1.3278,0.5370,0.5421
47,0.4551,0.8257,1.3704,0.5288,0.5303
48,0.4096,0.8466,1.2754,0.5556,0.5584
49,0.4224,0.8405,1.5978,0.4959,0.4844
50,0.4070,0.8495,1.6925,0.4733,0.4549
51,0.3687,0.8618,1.3112,0.5494,0.5519
52,0.3214,0.8808,1.3114,0.5576,0.5613
53,0.3357,0.8837,1.3042,0.5576,0.5620
54,0.3118,0.8851,1.3450,0.5370,0.5388
55,0.3234,0.8889,1.3031,0.5741,0.5758
56,0.3175,0.8827,1.2936,0.5761,0.5775
57,0.3088,0.8832,1.3295,0.5617,0.5633
58,0.3049,0.8879,1.3724,0.5473,0.5524
59,0.3197,0.8879,1.2979,0.5658,0.5694
60,0.3339,0.8865,1.3578,0.5370,0.5385
61,0.3203,0.8856,1.3613,0.5597,0.5616
62,0.3049,0.8894,1.3003,0.5638,0.5663
63,0.3056,0.8889,1.3265,0.5576,0.5607
64,0.3006,0.8832,1.3086,0.5576,0.5598
65,0.2862,0.8998,1.3443,0.5576,0.5600
66,0.3079,0.8808,1.4946,0.5432,0.5465
67,0.2747,0.9031,1.4013,0.5556,0.5564
68,0.2877,0.8922,1.3143,0.5782,0.5805
69,0.3203,0.8841,1.3325,0.5617,0.5647
70,0.2989,0.8903,1.3482,0.5617,0.5650
71,0.2854,0.9036,1.3317,0.5823,0.5835
72,0.2769,0.8979,1.4292,0.5597,0.5608
73,0.2761,0.9017,1.3771,0.5761,0.5771
74,0.2824,0.8984,1.4050,0.5617,0.5632
75,0.2817,0.8951,1.3753,0.5823,0.5850
76,0.2744,0.8993,1.4370,0.5514,0.5527
77,0.2660,0.9041,1.4168,0.5679,0.5678
78,0.2412,0.9141,1.3596,0.5741,0.5761
79,0.2789,0.8965,1.3803,0.5700,0.5702
80,0.2658,0.9041,1.4247,0.5453,0.5467
81,0.2771,0.9008,1.3259,0.5720,0.5755
82,0.2489,0.9103,1.3768,0.5617,0.5630
83,0.2506,0.9112,1.4200,0.5597,0.5608
84,0.2633,0.9060,1.3771,0.5782,0.5802
85,0.2478,0.9084,1.4601,0.5700,0.5703
86,0.2498,0.9126,1.3439,0.5638,0.5675
87,0.2546,0.9065,1.4006,0.5782,0.5813
88,0.2373,0.9160,1.5343,0.5309,0.5281
89,0.2547,0.9098,1.3788,0.5617,0.5643
90,0.2363,0.9164,1.4048,0.5617,0.5645
91,0.2447,0.9098,1.4254,0.5679,0.5698
92,0.2433,0.9065,1.4246,0.5494,0.5509
93,0.2333,0.9160,1.4394,0.5576,0.5580
94,0.2397,0.9164,1.4224,0.5638,0.5641
95,0.2169,0.9250,1.5456,0.5473,0.5485
96,0.2285,0.9136,1.3676,0.5658,0.5684
