epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.8925,0.2695,1.5302,0.2741,0.2592
2,1.5894,0.3538,1.5435,0.2741,0.2535
3,1.4899,0.3748,1.6004,0.2907,0.2483
4,1.3821,0.4318,1.5569,0.3130,0.2966
5,1.2853,0.4805,1.5585,0.3315,0.3326
6,1.2143,0.4868,1.6414,0.3259,0.3009
7,1.0986,0.5512,1.6585,0.3037,0.3035
8,1.0135,0.5765,1.7769,0.3130,0.2912
9,0.9309,0.6272,1.7327,0.3037,0.2915
10,0.8416,0.6569,1.7317,0.3315,0.3255
11,0.7159,0.7217,1.7975,0.3537,0.3467
12,0.6466,0.7422,1.9150,0.3278,0.3189
13,0.5861,0.7753,1.8964,0.3593,0.3512
14,0.5351,0.7895,1.9807,0.3370,0.3274
15,0.4684,0.8255,1.9140,0.3630,0.3595
16,0.4009,0.8533,1.9720,0.3667,0.3612
17,0.3409,0.8826,2.0244,0.3389,0.3314
18,0.3255,0.8879,2.1962,0.3685,0.3577
19,0.2682,0.9162,2.1385,0.3944,0.3941
20,0.2579,0.9152,2.1753,0.3667,0.3615
21,0.2104,0.9381,2.1444,0.3593,0.3561
22,0.1947,0.9454,2.2663,0.3815,0.3748
23,0.1766,0.9522,2.2903,0.3741,0.3737
24,0.1506,0.9581,2.3267,0.3833,0.3820
25,0.1452,0.9542,2.3987,0.3704,0.3690
26,0.1581,0.9474,2.4718,0.3667,0.3651
27,0.1378,0.9605,2.5688,0.3556,0.3543
28,0.1546,0.9459,2.5443,0.3481,0.3467
29,0.1410,0.9547,2.6745,0.3574,0.3550
30,0.1211,0.9635,2.6620,0.3741,0.3732
31,0.0963,0.9766,2.6772,0.3593,0.3584
32,0.0938,0.9712,2.7180,0.3574,0.3526
33,0.0874,0.9737,2.7426,0.3722,0.3710
34,0.0858,0.9742,2.7844,0.3481,0.3490
35,0.0758,0.9805,2.8104,0.3648,0.3624
36,0.0781,0.9766,2.8222,0.3574,0.3553
37,0.0767,0.9781,2.9003,0.3685,0.3686
38,0.0755,0.9781,2.9161,0.3630,0.3628
39,0.0769,0.9756,2.8369,0.3833,0.3829
40,0.0687,0.9790,3.0694,0.3648,0.3648
41,0.0727,0.9781,3.0762,0.3704,0.3705
42,0.0765,0.9776,3.1274,0.3759,0.3762
43,0.0940,0.9683,3.0349,0.3667,0.3678
44,0.1131,0.9620,3.0809,0.3648,0.3645
