epoch,train_loss,train_acc,val_loss,val_acc,val_macro_f1
1,1.8887,0.2705,1.5355,0.3000,0.2776
2,1.5830,0.3460,1.5254,0.3148,0.2907
3,1.4932,0.4006,1.4784,0.2944,0.2949
4,1.3675,0.4381,1.5361,0.3222,0.3156
5,1.2700,0.4635,1.6210,0.3130,0.3104
6,1.1587,0.5166,1.5562,0.3574,0.3509
7,1.0572,0.5726,1.6327,0.3463,0.3346
8,0.9540,0.6101,1.5956,0.3574,0.3534
9,0.8328,0.6603,1.7500,0.3444,0.3388
10,0.7325,0.7154,1.7251,0.3648,0.3627
11,0.6604,0.7549,1.7952,0.3481,0.3489
12,0.5872,0.7632,1.7723,0.3630,0.3616
13,0.5059,0.8148,1.8449,0.3759,0.3730
14,0.4371,0.8372,1.8395,0.3630,0.3601
15,0.3876,0.8582,1.8796,0.3741,0.3711
16,0.3428,0.8728,1.8751,0.3833,0.3838
17,0.3128,0.8884,1.9414,0.3870,0.3833
18,0.2649,0.9113,1.9285,0.3778,0.3714
19,0.2482,0.9186,2.0754,0.3704,0.3658
20,0.2450,0.9196,2.0832,0.3685,0.3643
21,0.2277,0.9225,2.0553,0.3759,0.3734
22,0.1906,0.9381,2.1202,0.3648,0.3638
23,0.1820,0.9420,2.2037,0.3870,0.3756
24,0.1540,0.9600,2.2621,0.3981,0.3849
25,0.1537,0.9518,2.3286,0.3981,0.3837
26,0.1397,0.9571,2.3464,0.3685,0.3636
27,0.1305,0.9615,2.3971,0.3926,0.3850
28,0.1097,0.9649,2.4473,0.3852,0.3820
29,0.1132,0.9688,2.4323,0.3815,0.3743
30,0.1151,0.9596,2.4708,0.3704,0.3665
31,0.1317,0.9605,2.5957,0.3444,0.3387
32,0.0809,0.9810,2.5796,0.3722,0.3671
33,0.0680,0.9829,2.6331,0.3500,0.3445
34,0.0810,0.9776,2.7715,0.3741,0.3722
35,0.0729,0.9790,2.7202,0.3926,0.3858
36,0.0728,0.9776,2.7740,0.3907,0.3854
37,0.0768,0.9781,2.7647,0.3815,0.3769
38,0.0804,0.9761,2.7224,0.3870,0.3788
39,0.1039,0.9673,2.7868,0.4037,0.3940
40,0.1453,0.9474,2.7183,0.3778,0.3760
41,0.1154,0.9600,2.9670,0.3778,0.3718
42,0.1190,0.9561,3.0386,0.3667,0.3644
43,0.0979,0.9644,2.9846,0.3907,0.3883
44,0.0776,0.9751,3.1183,0.3815,0.3784
45,0.0620,0.9800,3.1001,0.3833,0.3809
46,0.0643,0.9800,3.0078,0.3796,0.3746
47,0.0546,0.9815,3.0986,0.3833,0.3758
48,0.0686,0.9781,3.0121,0.3648,0.3611
49,0.0512,0.9883,3.1162,0.3796,0.3747
50,0.0421,0.9898,3.1358,0.3944,0.3905
51,0.0264,0.9937,3.1434,0.3759,0.3692
52,0.0273,0.9922,3.2028,0.3796,0.3751
53,0.0263,0.9951,3.2027,0.3833,0.3785
54,0.0205,0.9966,3.1897,0.3741,0.3698
55,0.0215,0.9946,3.2092,0.3870,0.3833
56,0.0178,0.9961,3.2341,0.3963,0.3918
57,0.0213,0.9946,3.2906,0.3963,0.3899
58,0.0205,0.9961,3.2696,0.3907,0.3862
59,0.0192,0.9951,3.3183,0.3907,0.3861
60,0.0128,0.9971,3.3282,0.3870,0.3848
61,0.0158,0.9971,3.3457,0.3981,0.3937
62,0.0183,0.9966,3.3576,0.3833,0.3815
63,0.0173,0.9961,3.2840,0.3870,0.3825
64,0.0174,0.9961,3.3515,0.3833,0.3821
